Date,Open,High,Low,Close,Adj Close,Volume
2019-08-27,156.725494,156.725494,156.725494,156.725494,156.725494,0
2019-08-28,157.222794,157.222794,157.222794,157.222794,157.222794,0
2019-08-29,158.167496,158.167496,158.167496,158.167496,158.167496,0
2019-08-30,161.277496,161.277496,161.277496,161.277496,161.277496,0
2019-09-02,162.064102,162.064102,162.064102,162.064102,162.064102,0
2019-09-03,160.179398,160.179398,160.179398,160.179398,160.179398,0
2019-09-04,162.099594,162.099594,162.099594,162.099594,162.099594,0
2019-09-05,163.925598,163.925598,163.925598,163.925598,163.925598,0
2019-09-06,164.687302,164.687302,164.687302,164.687302,164.687302,0
2019-09-09,164.974792,164.974792,164.974792,164.974792,164.974792,0
2019-09-10,164.813599,164.813599,164.813599,164.813599,164.813599,0
2019-09-11,166.940903,166.940903,166.940903,166.940903,166.940903,0
2019-09-12,167.366302,167.366302,167.366302,167.366302,167.366302,0
2019-09-13,167.279999,167.279999,167.279999,167.279999,167.279999,0
2019-09-16,168.626297,168.626297,168.626297,168.626297,168.626297,0
2019-09-17,166.577896,166.577896,166.577896,166.577896,166.577896,0
2019-09-18,166.841095,166.841095,166.841095,166.841095,166.841095,0
2019-09-19,166.110199,166.110199,166.110199,166.110199,166.110199,0
2019-09-20,167.558594,167.558594,167.558594,167.558594,167.558594,0
2019-09-23,166.794998,166.794998,166.794998,166.794998,166.794998,0
2019-09-24,166.082001,166.082001,166.082001,166.082001,166.082001,0
2019-09-25,165.747803,165.747803,165.747803,165.747803,165.747803,0
2019-09-26,166.648407,166.648407,166.648407,166.648407,166.648407,0
2019-09-27,165.296906,165.296906,165.296906,165.296906,165.296906,0
2019-09-30,165.921799,165.921799,165.921799,165.921799,165.921799,0
2019-10-01,165.266800,165.266800,165.266800,165.266800,165.266800,0
2019-10-02,163.319305,163.319305,163.319305,163.319305,163.319305,0
2019-10-04,164.086899,164.086899,164.086899,164.086899,164.086899,0
2019-10-07,163.462097,163.462097,163.462097,163.462097,163.462097,0
2019-10-08,163.995499,163.995499,163.995499,163.995499,163.995499,0
2019-10-09,163.557007,163.557007,163.557007,163.557007,163.557007,0
2019-10-10,163.642303,163.642303,163.642303,163.642303,163.642303,0
2019-10-11,165.785507,165.785507,165.785507,165.785507,165.785507,0
2019-10-14,166.859497,166.859497,166.859497,166.859497,166.859497,0
2019-10-15,166.997696,166.997696,166.997696,166.997696,166.997696,0
2019-10-16,167.597305,167.597305,167.597305,167.597305,167.597305,0
2019-10-17,167.302002,167.302002,167.302002,167.302002,167.302002,0
2019-10-18,166.260803,166.260803,166.260803,166.260803,166.260803,0
2019-10-21,166.899307,166.899307,166.899307,166.899307,166.899307,0
2019-10-22,168.031494,168.031494,168.031494,168.031494,168.031494,0
2019-10-23,168.012604,168.012604,168.012604,168.012604,168.012604,0
2019-10-24,167.917694,167.917694,167.917694,167.917694,167.917694,0
2019-10-25,168.951508,168.951508,168.951508,168.951508,168.951508,0
2019-10-28,170.093597,170.093597,170.093597,170.093597,170.093597,0
2019-10-29,169.872604,169.872604,169.872604,169.872604,169.872604,0
2019-10-30,169.380005,169.380005,169.380005,169.380005,169.380005,0
2019-10-31,168.929703,168.929703,168.929703,168.929703,168.929703,0
2019-11-01,169.898605,169.898605,169.898605,169.898605,169.898605,0
2019-11-04,172.611206,172.611206,172.611206,172.611206,172.611206,0
2019-11-05,174.941406,174.941406,174.941406,174.941406,174.941406,0
2019-11-06,174.563293,174.563293,174.563293,174.563293,174.563293,0
2019-11-07,175.816406,175.816406,175.816406,175.816406,175.816406,0
2019-11-08,174.751007,174.751007,174.751007,174.751007,174.751007,0
2019-11-11,172.584000,172.584000,172.584000,172.584000,172.584000,0
2019-11-12,172.304306,172.304306,172.304306,172.304306,172.304306,0
2019-11-13,171.497604,171.497604,171.497604,171.497604,171.497604,0
2019-11-14,171.382004,171.382004,171.382004,171.382004,171.382004,0
2019-11-15,171.680603,171.680603,171.680603,171.680603,171.680603,0
2019-11-18,171.788300,171.788300,171.788300,171.788300,171.788300,0
2019-11-19,172.645401,172.645401,172.645401,172.645401,172.645401,0
2019-11-20,171.972000,171.972000,171.972000,171.972000,171.972000,0
2019-11-21,170.605103,170.605103,170.605103,170.605103,170.605103,0
2019-11-22,172.129196,172.129196,172.129196,172.129196,172.129196,0
2019-11-25,173.087097,173.087097,173.087097,173.087097,173.087097,0
2019-11-26,172.132202,172.132202,172.132202,172.132202,172.132202,0
2019-11-27,173.177795,173.177795,173.177795,173.177795,173.177795,0
2019-11-28,172.632599,172.632599,172.632599,172.632599,172.632599,0
2019-11-29,170.570297,170.570297,170.570297,170.570297,170.570297,0
2019-12-02,169.923492,169.923492,169.923492,169.923492,169.923492,0
2019-12-03,169.291306,169.291306,169.291306,169.291306,169.291306,0
2019-12-04,169.101898,169.101898,169.101898,169.101898,169.101898,0
2019-12-05,170.044205,170.044205,170.044205,170.044205,170.044205,0
2019-12-06,171.729996,171.729996,171.729996,171.729996,171.729996,0
2019-12-09,171.767807,171.767807,171.767807,171.767807,171.767807,0
2019-12-10,171.216003,171.216003,171.216003,171.216003,171.216003,0
2019-12-11,172.724396,172.724396,172.724396,172.724396,172.724396,0
2019-12-12,174.264893,174.264893,174.264893,174.264893,174.264893,0
2019-12-13,175.450302,175.450302,175.450302,175.450302,175.450302,0
2019-12-16,175.603104,175.603104,175.603104,175.603104,175.603104,0
2019-12-17,178.886200,178.886200,178.886200,178.886200,178.886200,0
2019-12-18,180.378799,180.378799,180.378799,180.378799,180.378799,0
2019-12-19,180.184692,180.184692,180.184692,180.184692,180.184692,0
2019-12-20,180.887604,180.887604,180.887604,180.887604,180.887604,0
2019-12-23,181.490494,181.490494,181.490494,181.490494,181.490494,0
2019-12-27,181.729706,181.729706,181.729706,181.729706,181.729706,0
2019-12-30,180.994904,180.994904,180.994904,180.994904,180.994904,0
2020-01-02,182.635406,182.635406,182.635406,182.635406,182.635406,0
2020-01-03,182.516800,182.516800,182.516800,182.516800,182.516800,0
2020-01-06,180.294006,180.294006,180.294006,180.294006,180.294006,0
