Date,Open,High,Low,Close,Adj Close,Volume
2019-04-04,16.851999,16.851999,16.851999,16.851999,16.851999,0
2019-04-05,16.886000,16.886000,16.886000,16.886000,16.886000,0
2019-04-08,16.837000,16.837000,16.837000,16.837000,16.837000,0
2019-04-09,16.729000,16.729000,16.729000,16.729000,16.729000,0
2019-04-10,16.775000,16.775000,16.775000,16.775000,16.775000,0
2019-04-11,16.847000,16.847000,16.847000,16.847000,16.847000,0
2019-04-12,16.933001,16.933001,16.933001,16.933001,16.933001,0
2019-04-15,16.961000,16.961000,16.961000,16.961000,16.961000,0
2019-04-16,17.028999,17.028999,17.028999,17.028999,17.028999,0
2019-04-17,17.094000,17.094000,17.094000,17.094000,17.094000,0
2019-04-18,17.163000,17.163000,17.163000,17.163000,17.163000,0
2019-04-23,17.177999,17.177999,17.177999,17.177999,17.177999,0
2019-04-24,17.156000,17.156000,17.156000,17.156000,17.156000,0
2019-04-25,17.114000,17.114000,17.114000,17.114000,17.114000,0
2019-04-26,17.163000,17.163000,17.163000,17.163000,17.163000,0
2019-04-29,17.204000,17.204000,17.204000,17.204000,17.204000,0
2019-04-30,17.246000,17.246000,17.246000,17.246000,17.246000,0
2019-05-02,17.163000,17.163000,17.163000,17.163000,17.163000,0
2019-05-03,17.200001,17.200001,17.200001,17.200001,17.200001,0
2019-05-06,null,null,null,null,null,null
2019-05-07,16.791000,16.791000,16.791000,16.791000,16.791000,0
2019-05-08,16.839001,16.839001,16.839001,16.839001,16.839001,0
2019-05-09,16.555000,16.555000,16.555000,16.555000,16.555000,0
2019-05-10,16.610001,16.610001,16.610001,16.610001,16.610001,0
2019-05-13,16.379999,16.379999,16.379999,16.379999,16.379999,0
2019-05-14,16.591000,16.591000,16.591000,16.591000,16.591000,0
2019-05-15,16.684999,16.684999,16.684999,16.684999,16.684999,0
2019-05-16,16.917999,16.917999,16.917999,16.917999,16.917999,0
2019-05-17,16.853001,16.853001,16.853001,16.853001,16.853001,0
2019-05-20,16.638000,16.638000,16.638000,16.638000,16.638000,0
2019-05-21,16.750000,16.750000,16.750000,16.750000,16.750000,0
2019-05-22,16.740000,16.740000,16.740000,16.740000,16.740000,0
2019-05-23,16.455000,16.455000,16.455000,16.455000,16.455000,0
2019-05-24,16.555000,16.555000,16.555000,16.555000,16.555000,0
2019-05-27,null,null,null,null,null,null
2019-05-28,16.583000,16.583000,16.583000,16.583000,16.583000,0
2019-05-29,16.340000,16.340000,16.340000,16.340000,16.340000,0
2019-05-30,16.440001,16.440001,16.440001,16.440001,16.440001,0
2019-05-31,16.271999,16.271999,16.271999,16.271999,16.271999,0
2019-06-03,null,null,null,null,null,null
2019-06-04,16.493000,16.493000,16.493000,16.493000,16.493000,0
2019-06-05,16.533001,16.533001,16.533001,16.533001,16.533001,0
2019-06-06,16.487000,16.487000,16.487000,16.487000,16.487000,0
2019-06-07,16.669001,16.669001,16.669001,16.669001,16.669001,0
2019-06-11,16.837000,16.837000,16.837000,16.837000,16.837000,0
2019-06-12,16.760000,16.760000,16.760000,16.760000,16.760000,0
2019-06-13,16.788000,16.788000,16.788000,16.788000,16.788000,0
2019-06-14,16.705000,16.705000,16.705000,16.705000,16.705000,0
2019-06-17,16.707001,16.707001,16.707001,16.707001,16.707001,0
2019-06-18,17.041000,17.041000,17.041000,17.041000,17.041000,0
2019-06-19,17.063000,17.063000,17.063000,17.063000,17.063000,0
2019-06-20,17.108000,17.108000,17.108000,17.108000,17.108000,0
2019-06-21,17.077999,17.077999,17.077999,17.077999,17.077999,0
2019-06-24,17.023001,17.023001,17.023001,17.023001,17.023001,0
2019-06-25,16.975000,16.975000,16.975000,16.975000,16.975000,0
2019-06-26,16.959000,16.959000,16.959000,16.959000,16.959000,0
2019-06-27,16.969999,16.969999,16.969999,16.969999,16.969999,0
2019-06-28,17.113001,17.113001,17.113001,17.113001,17.113001,0
2019-07-01,17.237000,17.237000,17.237000,17.237000,17.237000,0
2019-07-02,17.271999,17.271999,17.271999,17.271999,17.271999,0
2019-07-03,17.452999,17.452999,17.452999,17.452999,17.452999,0
2019-07-04,17.488001,17.488001,17.488001,17.488001,17.488001,0
2019-07-05,17.385000,17.385000,17.385000,17.385000,17.385000,0
2019-07-08,17.349001,17.349001,17.349001,17.349001,17.349001,0
2019-07-09,17.261999,17.261999,17.261999,17.261999,17.261999,0
2019-07-10,17.232000,17.232000,17.232000,17.232000,17.232000,0
2019-07-11,17.212000,17.212000,17.212000,17.212000,17.212000,0
2019-07-12,17.239000,17.239000,17.239000,17.239000,17.239000,0
2019-07-15,17.287001,17.287001,17.287001,17.287001,17.287001,0
2019-07-16,17.368999,17.368999,17.368999,17.368999,17.368999,0
